mcns_x,mcns_y,mcns_z,mcns_plot_x,mcns_plot_y,mcns_plot_z
419394.0,263176.47,268214.66,417650.78,264439.0,268214.66
476650.0,312326.0,211632.53,472875.22,315860.69,211632.53
305163.03,313791.78,192411.69,301468.94,310399.88,192411.69
288019.03,192875.64,268839.34,289222.06,188890.03,268839.34
171075.55,309797.09,330241.25,167652.17,300993.44,330241.25
102623.8,150258.36,261112.2,105699.12,138820.45,261112.2
336548.06,117854.27,232202.22,340741.16,115889.67,232202.22
54570.19,284571.81,274337.06,52260.56,271083.72,274337.06
440989.09,204943.23,132254.0,441579.97,207125.38,132254.0
114256.84,145945.58,252195.86,117496.88,134981.0,252195.86
326758.12,151982.98,106522.99,329580.94,149595.19,106522.99
202894.64,120748.47,212596.27,207079.91,113384.01,212596.27
609150.12,249162.86,294966.38,607818.06,258099.98,294966.38
312871.16,282673.81,233320.53,310427.44,279618.59,233320.53
466903.16,75040.33,156188.12,472718.91,78374.97,156188.12
444784.19,230740.94,204516.59,444330.12,233055.28,204516.59
468744.19,141517.05,271817.66,471873.81,144871.78,271817.66
462512.19,127318.78,256229.44,466220.31,130433.45,256229.44
519273.22,292502.66,307966.12,516264.19,297774.81,307966.12
456081.22,347890.84,246042.83,450886.94,350565.84,246042.83
104301.99,347790.5,332140.19,99398.75,336259.25,332140.19
352362.25,259229.03,251205.05,350833.12,257787.75,251205.05
228010.25,348975.59,318446.28,222958.25,342439.22,318446.28
352027.28,377885.12,201705.94,345706.56,376333.5,201705.94
141195.8,355947.94,228878.69,135933.05,345899.94,228878.69
441924.31,326791.06,250664.94,437593.69,328911.56,250664.94
456964.31,196476.47,82487.09,457884.09,199310.66,82487.08
122963.8,204375.77,317273.28,123837.0,193715.12,317273.28
334077.34,130247.17,195605.78,337771.97,128172.7,195605.78
617502.38,313556.53,320467.22,613563.0,322778.44,320467.22
527102.38,186389.16,264935.28,528372.25,192064.05,264935.28
154453.86,232075.92,300533.84,154182.77,222664.41,300533.84
404623.41,192971.05,169247.38,405727.44,193694.34,169247.38
420767.41,243891.17,238193.36,419801.91,245224.89,238193.36
215567.92,326597.91,329017.09,211429.77,319577.31,329017.09
129271.92,193425.28,213783.47,130582.25,183028.33,213783.47
222320.95,313223.0,233611.8,218717.42,306486.06,233611.8
339544.44,324061.0,296742.94,335407.56,322049.19,296742.94
74769.47,317075.53,260808.86,71130.75,304376.62,260808.86
432345.47,220052.23,295028.38,432333.22,221872.98,295028.38
188786.5,197899.17,316237.28,189867.58,189902.03,316237.28
527346.5,113957.01,270112.41,531541.31,119700.86,270112.41
604026.5,338807.91,315413.09,599078.31,347464.97,315413.09
370907.53,294682.62,320410.03,367931.5,293961.34,320410.03
186219.53,166665.88,252243.22,188564.05,158590.53,252243.22
306348.56,66165.25,235318.77,312653.75,63023.23,235318.77
566692.56,329141.38,206924.86,562165.25,336298.62,206924.86
374492.56,187821.44,183618.17,375829.12,187332.12,183618.17
480244.56,135559.25,141037.66,483605.44,139383.3,141037.66
470149.59,296039.56,175739.28,467037.81,299325.0,175739.28
164590.11,159308.88,213131.42,167249.39,150366.06,213131.42
261486.11,168945.17,152148.44,263677.19,163907.56,152148.44
591222.62,299190.62,321430.84,587884.81,307362.97,321430.84
438662.62,103487.13,242651.78,443352.62,105658.09,242651.78
288983.66,51362.87,238667.38,295900.78,47531.67,238667.38
199431.66,212910.77,221374.92,199897.83,205331.28,221374.92
532680.69,139040.14,159992.05,535858.19,144978.94,159992.05
366448.69,251083.81,126903.63,365237.03,250218.05,126903.63
623552.69,397152.53,277358.19,616232.31,406550.53,277358.19
226769.2,256528.62,208673.17,225451.59,250017.55,208673.17
494849.72,97741.21,278924.53,499725.94,102185.94,278924.53
462577.72,174634.55,171361.58,464375.0,177713.27,171361.58
418538.75,314892.53,129710.4,414707.72,316078.31,129710.4
469258.75,243795.39,99122.23,468257.53,247087.48,99122.23
655738.75,115663.52,271311.88,659759.94,126591.0,271311.88
427891.78,238941.06,295965.88,427120.38,240566.55,295965.88
300324.81,115967.38,249944.14,304623.69,112541.47,249944.14
580020.81,80697.08,235446.39,585515.88,88595.28,235446.39
238516.81,189685.11,301497.94,239889.06,183702.98,301497.94
365204.81,235540.73,159141.27,364621.84,234637.41,159141.27
464101.84,224019.31,127801.92,463903.47,227119.28,127801.92
550198.88,224371.73,318399.5,549916.06,230948.38,318399.5
590606.88,330705.38,316362.28,585996.88,338827.12,316362.28
578630.88,247621.53,196062.0,577385.94,255327.42,196062.0
368895.91,381629.72,222438.3,362410.25,380756.25,222438.3
220943.91,116036.5,180859.66,225304.73,109404.8,180859.66
431240.94,147523.94,268847.81,434158.62,149359.23,268847.81
239344.42,196862.25,258736.16,240426.14,190907.7,258736.16
203384.42,198972.12,227260.59,204410.28,191563.62,227260.59
60265.97,271086.47,318515.81,58496.31,257839.41,318515.81
382297.97,287147.22,280596.91,379616.97,286892.06,280596.91
326099.0,253928.2,205143.55,324805.38,251430.61,205143.55
539795.0,125352.61,163166.75,543519.5,131589.88,163166.75
596595.0,397398.12,272581.62,589286.75,405707.28,272581.62
488596.03,166839.64,141819.8,490686.84,170975.44,141819.8
394756.03,181472.02,230196.05,396332.5,181806.2,230196.05
284245.06,201896.66,234575.48,285086.88,197751.28,234575.48
600933.06,152713.72,313646.16,603502.69,161397.7,313646.16
540333.06,173838.11,298010.56,542099.0,180057.56,298010.56
381926.09,83504.33,185194.12,387469.38,83400.33,185194.12
401254.09,86158.44,139665.34,406674.41,86832.81,139665.34
632567.12,161739.28,204872.84,634746.44,171693.41,204872.84
441287.12,222838.84,213719.75,441155.06,225018.42,213719.75
636623.12,264937.25,186584.72,634631.56,274970.97,186584.72
247951.12,197985.02,264311.0,248980.48,192377.12,264311.0
391464.16,183677.05,232473.77,392954.25,183876.5,232473.77
343464.16,184583.58,175804.94,344956.81,182843.86,175804.94
674209.19,285135.75,219755.91,671371.25,296670.88,219755.91
630649.19,161218.09,299374.69,632851.12,171095.19,299374.69
411225.19,212433.16,167277.39,411537.88,213407.19,167277.39
268474.22,217766.08,246410.47,268688.0,212970.86,246410.47
432123.25,344232.03,201460.19,427096.28,345942.5,201460.19
551947.25,126649.22,261649.61,555609.5,133376.19,261649.61
539963.25,187995.44,250394.81,541157.75,194188.41,250394.81
214379.25,341786.75,236043.19,209628.66,334705.78,236043.19
406052.28,224862.8,158092.72,405867.19,225617.78,158092.72
507892.28,105399.0,241966.05,512448.59,110364.19,241966.05
560173.31,222981.11,243916.88,559938.56,229961.7,243916.88
519325.31,222129.06,291861.03,519158.22,227460.73,291861.03
180372.8,202119.75,224205.86,181290.31,193779.38,224205.86
362822.34,97573.39,223746.84,367813.03,96686.41,223746.84
77010.6,324273.88,329291.09,73079.38,311659.62,329291.09
99483.63,206799.45,239943.66,100278.16,195188.62,239943.66
484015.38,184142.31,138707.97,485411.19,188079.0,138707.97
541999.38,251870.52,197917.08,540612.75,258093.59,197917.08
548391.38,212011.56,263840.22,548609.12,218525.3,263840.22
144280.41,386139.06,252734.45,137795.89,376191.0,252734.45
210249.95,123821.54,269332.06,214305.11,116751.62,269332.06
586641.44,285556.22,326480.12,583858.0,293554.66,326480.12
464201.44,237395.61,226689.31,463462.81,240488.69,226689.31
442882.47,166506.03,168861.11,445024.03,168796.0,168861.11
318250.47,357441.19,195187.53,312782.94,354542.19,195187.53
377395.5,157343.59,128734.2,379960.53,156996.38,128734.2
235706.98,116549.91,160915.19,240035.05,110513.98,160915.19
459995.5,228916.72,124262.93,459602.72,231846.84,124262.93
414964.53,263603.84,298822.69,413207.66,264687.12,298822.69
367428.53,253705.44,264295.28,366110.19,252877.11,264295.28
563789.56,85412.17,206729.02,569107.44,92651.03,206729.02
534829.56,197044.61,291141.53,535662.88,203022.86,291141.53
251237.05,276052.19,320423.81,249111.03,270513.31,320423.81
487790.59,187334.0,91188.73,489054.41,191420.55,91188.73
313942.59,276764.47,222141.86,311736.66,273757.34,222141.86
293351.62,246143.86,182956.97,292399.09,242330.14,182956.97
247991.11,193564.05,264567.28,249198.98,187961.38,264567.28
178559.62,167422.39,328113.16,180879.84,159037.11,328113.16
500607.62,180681.69,276965.94,502129.62,185291.27,276965.94
310752.66,267109.72,165253.14,308939.22,263981.62,165253.14
346784.66,115853.18,246485.89,351050.22,114303.62,246485.89
206050.2,91730.83,220406.92,211404.77,84517.47,220406.92
423689.69,122759.68,250096.34,427613.59,124310.24,250096.34
562537.69,175254.64,221562.69,564228.31,182369.66,221562.69
319434.72,155160.62,276459.97,322135.19,152474.47,276459.97
