x_fanc,y_fanc,z_fanc,x_manc,y_manc,z_manc
80000,760000,100000,111070,143694,160008
80000,780000,40000,115306,72614,158819
80000,780000,60000,113999,90683,156433
80000,780000,80000,110450,113584,152864
80000,780000,100000,112032,145606,140233
80000,780000,120000,105006,172780,134203
80000,800000,60000,115725,90733,138111
80000,800000,80000,112497,112302,132251
80000,800000,100000,108370,142738,124002
80000,800000,120000,103327,168631,118361
80000,820000,60000,114357,89751,119850
80000,820000,80000,112322,111743,113577
80000,820000,100000,106449,140523,103327
80000,820000,120000,104255,163898,98394
80000,840000,60000,113180,90698,101918
80000,840000,80000,111357,112464,95134
80000,840000,100000,107898,137557,87288
80000,840000,120000,104301,161169,82143
100000,380000,80000,137469,253958,500261
100000,380000,100000,133999,276267,496457
100000,380000,120000,132105,297831,491740
100000,400000,60000,137632,226872,487196
100000,400000,80000,133468,249011,484444
100000,400000,100000,129946,273362,480138
100000,400000,120000,127849,293892,476311
100000,400000,140000,125801,313487,465591
100000,400000,160000,125703,330604,457817
100000,420000,40000,140919,197631,472333
100000,420000,60000,135732,220976,472531
100000,420000,80000,132097,241783,468406
100000,420000,100000,126784,265697,462543
100000,420000,120000,125511,286754,456981
100000,420000,140000,124122,308303,447866
100000,420000,160000,125487,326558,439278
100000,440000,40000,140376,192746,455800
100000,440000,60000,136081,213666,452956
100000,440000,80000,131730,233870,450030
100000,440000,100000,128182,257778,442689
100000,440000,120000,126038,279348,435765
100000,440000,140000,123864,299813,427618
100000,440000,160000,124716,318391,418652
100000,440000,180000,126262,336815,410312
100000,460000,40000,141421,186581,439089
100000,460000,60000,136814,206739,436686
100000,460000,80000,134201,230217,432061
100000,460000,100000,130648,250737,425247
100000,460000,120000,126574,274106,414572
100000,460000,140000,124858,293630,404057
100000,460000,160000,125506,314594,396782
100000,460000,180000,127380,333598,391365
100000,480000,40000,143085,181143,422542
100000,480000,60000,139217,204266,418730
100000,480000,80000,139116,228059,410771
100000,480000,100000,134474,247800,406102
100000,480000,120000,128731,271663,393517
100000,480000,140000,125612,290873,383138
100000,480000,160000,126701,312389,378352
100000,480000,180000,128646,328461,373553
100000,500000,20000,147226,151562,408905
100000,500000,40000,143455,176052,407497
100000,500000,60000,141247,200768,400848
100000,500000,80000,140819,222924,392969
100000,500000,100000,139332,249181,384234
100000,500000,120000,134711,272953,371747
100000,500000,140000,132584,289830,365227
100000,500000,160000,131552,309679,361019
100000,520000,20000,146971,146201,392909
100000,520000,40000,143393,171127,393918
100000,520000,60000,141051,196956,383294
100000,520000,80000,142298,219087,371485
100000,520000,100000,141460,249891,363976
100000,520000,120000,137647,270519,354565
100000,520000,140000,135778,291207,347749
100000,540000,20000,146442,141814,375950
100000,540000,40000,144548,166737,376890
100000,540000,60000,142562,192583,364117
100000,540000,80000,144034,216763,355286
100000,540000,100000,140864,245470,346592
100000,540000,120000,139338,266163,338047
100000,540000,140000,138187,287960,326939
100000,560000,20000,145488,137496,356882
100000,560000,40000,141149,158792,354766
100000,560000,60000,143573,185243,347030
100000,560000,80000,144411,211657,338919
100000,560000,100000,142351,236148,331531
100000,560000,120000,139967,258342,321771
100000,560000,140000,139112,280921,311157
100000,560000,160000,139573,296451,301945
100000,580000,20000,144278,133199,338588
100000,580000,40000,139185,154127,333378
100000,580000,60000,141946,180261,331638
100000,580000,80000,142994,206450,324762
100000,580000,100000,143572,231231,313238
100000,580000,120000,141228,252693,303874
100000,580000,140000,141973,273492,292214
100000,580000,160000,143108,291097,282212
100000,580000,180000,143884,308627,277421
100000,600000,20000,144743,129791,321368
100000,600000,40000,139546,150454,319135
100000,600000,60000,143306,178609,314406
100000,600000,80000,142392,202657,306556
100000,600000,100000,144391,224891,292883
100000,600000,120000,144764,246389,283068
100000,600000,140000,144980,266782,271364
100000,600000,160000,145256,288870,262992
100000,600000,180000,145696,307295,259062
100000,620000,20000,146203,121554,305121
100000,620000,40000,142586,145840,302873
100000,620000,60000,140765,167749,297271
100000,620000,80000,141067,194675,289235
100000,620000,100000,144786,217709,277329
100000,620000,120000,145418,237289,264459
100000,620000,140000,146647,256304,251231
100000,620000,160000,147299,283696,242400
100000,620000,180000,143864,303385,240492
100000,640000,20000,146875,111877,288872
100000,640000,40000,143546,137413,285836
100000,640000,60000,141157,161535,280821
100000,640000,80000,141255,187450,272111
100000,640000,100000,145285,210543,259953
100000,640000,120000,146495,229394,245219
100000,640000,140000,147125,247919,228690
100000,640000,160000,144768,275032,221266
100000,640000,180000,141109,300109,220816
100000,660000,40000,145414,127521,269724
100000,660000,60000,141546,152813,264245
100000,660000,80000,142066,178682,255927
100000,660000,100000,143411,199186,244070
100000,660000,120000,142274,220842,226287
100000,660000,140000,142642,244202,208380
100000,660000,160000,140993,271775,201872
100000,680000,40000,145768,118485,253942
100000,680000,60000,141205,143890,247598
100000,680000,80000,140477,166981,240987
100000,680000,100000,137789,187955,227381
100000,680000,120000,135055,212573,210075
100000,680000,140000,134616,237948,193733
100000,700000,40000,142788,108359,235767
100000,700000,60000,141510,134913,230775
100000,700000,80000,137182,156243,224712
100000,720000,40000,138357,98283,216110
100000,720000,60000,136382,120268,211688
100000,720000,80000,131797,150985,206966
100000,720000,100000,129226,170389,193340
100000,740000,40000,135507,88429,194850
100000,740000,60000,133443,107893,191567
100000,740000,80000,128919,128404,186965
100000,740000,100000,126191,152390,175632
100000,740000,120000,121631,184698,163821
100000,760000,40000,133254,79547,174930
100000,760000,60000,131025,96737,172237
100000,760000,80000,126255,117022,168838
100000,760000,100000,123840,148457,156401
100000,760000,120000,120033,180799,147593
100000,780000,40000,131260,74484,156770
100000,780000,60000,128751,90415,154415
100000,780000,80000,126979,112652,149612
100000,780000,100000,121563,153808,137903
100000,780000,120000,116935,174935,131670
100000,800000,40000,129897,72503,139832
100000,800000,60000,127985,89447,136441
100000,800000,80000,128005,109337,129338
100000,800000,100000,122203,145905,120297
100000,800000,120000,116897,170362,113528
