flywire_x,flywire_y,flywire_z,mcns_x,mcns_y,mcns_z
493100.1653323381,99516.8697089932,70329.71093389062,356242.894,68356.09599999999,153181.15399999998
492200.0,95853.0,120000.0,353553.30199999997,68849.837,194668.918
492200.0,95853.0,160000.0,349577.244,66405.18000000001,235747.082
492200.0,135853.0,40000.0,359092.904,107916.885,107370.547
492200.0,135853.0,80000.0,358385.911,112501.572,147912.33800000002
492200.0,135853.0,120000.0,355970.566,116366.724,189472.252
492200.0,135853.0,160000.0,351311.289,112840.59499999999,233873.077
492200.0,135853.0,200000.0,348813.02599999995,107107.595,276464.962
499829.8843939901,174130.12287877643,39999.99999999999,375429.47903042746,147331.97106058474,110842.97599999998
492200.0,175853.0,80000.0,357874.726,155587.83,147472.03
492200.0,175853.0,120000.0,357500.282,159508.709,189015.267
492200.0,175853.0,160000.0,353616.096,157372.15800000002,238751.441
492200.0,175853.0,200000.0,351516.791,153289.254,282527.56299999997
492200.0,215853.0,40000.0,351620.033,196587.573,115452.33899999999
492200.0,215853.0,80000.0,352865.406,199381.22699999998,151279.314
492200.0,215853.0,120000.0,355379.677,201741.672,195306.66999999998
492200.0,215853.0,160000.0,355797.586,202547.321,248416.299
492200.0,215853.0,200000.0,355597.30700000003,200880.831,291444.135
492200.0,255853.0,40000.0,352113.681,241980.92500000002,113534.694
492200.0,255853.0,120000.0,352645.31,247436.927,198157.288
492200.0,255853.0,160000.0,356861.536,249791.935,250934.539
492200.0,255853.0,200000.0,358520.482,248309.051,297070.944
492200.0,295853.0,40000.0,358521.814,286781.158,111957.544
492200.0,295853.0,80000.0,356485.012,290320.989,152140.32499999998
492200.0,295853.0,120000.0,356016.189,294853.152,197042.333
492200.0,295853.0,160000.0,357129.435,297651.7,246623.304
492200.0,295853.0,200000.0,357257.258,296825.491,294462.741
492200.0,335853.0,80000.0,362930.387,336713.075,153519.563
492200.0,335853.0,120000.0,360781.329,342836.394,195105.626
492200.0,335853.0,160000.0,358195.073,345426.849,240243.259
