x,y,z,x_sym,y_sym,z_sym
572200,235853,140000,1615006,195272,224465
572200,235853,160000,1613230,195335,244334
572200,235853,180000,1611453,195398,264202
572200,235853,200000,1609676,195462,284071
572200,255853,20000,1626884,214850,105344
572200,255853,40000,1625107,214913,125213
572200,255853,60000,1623331,214976,145081
572200,255853,80000,1621554,215039,164950
572200,255853,100000,1619777,215103,184818
572200,255853,120000,1618001,215166,204687
572200,255853,140000,1616224,215229,224555
572200,255853,160000,1614447,215292,244424
572200,255853,180000,1612671,215355,264292
572200,255853,200000,1610894,215418,284161
572200,275853,20000,1628101,234807,105434
572200,275853,40000,1626325,234870,125303
572200,275853,60000,1624548,234933,145171
572200,275853,80000,1622771,234996,165040
572200,275853,100000,1620995,235059,184908
572200,275853,120000,1619218,235122,204777
572200,275853,140000,1617441,235186,224645
572200,275853,160000,1615665,235249,244514
572200,275853,180000,1613888,235312,264382
572200,275853,200000,1612111,235375,284251
572200,295853,20000,1629319,254763,105524
572200,295853,40000,1627542,254826,125393
572200,295853,60000,1625766,254890,145261
572200,295853,80000,1623989,254953,165130
572200,295853,100000,1622212,255016,184998
572200,295853,120000,1620436,255079,204867
572200,295853,140000,1618659,255142,224735
572200,295853,160000,1616882,255205,244604
572200,295853,180000,1615106,255269,264472
572200,295853,200000,1613329,255332,284341
572200,315853,40000,1628760,274783,125483
572200,315853,60000,1626983,274846,145351
572200,315853,80000,1625206,274909,165220
572200,315853,100000,1623430,274973,185089
572200,315853,120000,1621653,275036,204957
572200,315853,140000,1619877,275099,224826
572200,315853,160000,1618100,275162,244694
572200,315853,180000,1616323,275225,264563
572200,315853,200000,1614547,275288,284431
572200,315853,220000,1612770,275352,304300
572200,335853,40000,1629977,294740,125573
572200,335853,60000,1628201,294803,145442
572200,335853,80000,1626424,294866,165310
572200,335853,100000,1624647,294929,185179
572200,335853,120000,1622871,294993,205047
572200,335853,140000,1621094,295056,224916
572200,335853,160000,1619318,295119,244784
572200,335853,180000,1617541,295182,264653
572200,335853,200000,1615764,295245,284521
572200,355853,40000,1631195,314697,125663
572200,355853,80000,1627642,314823,165400
572200,355853,100000,1625865,314886,185269
572200,355853,120000,1624088,314949,205137
572200,355853,140000,1622312,315012,225006
572200,355853,160000,1620535,315076,244874
572200,355853,180000,1618758,315139,264743
572200,355853,200000,1616982,315202,284611
572200,375853,120000,1625306,334906,205227
592200,95853,80000,1631639,53970,167176
592200,95853,100000,1629862,54033,187045
592200,95853,120000,1628085,54096,206913
592200,95853,140000,1626309,54159,226782
592200,95853,160000,1624532,54222,246650
592200,115853,60000,1634633,73863,147398
592200,115853,80000,1632856,73926,167266
592200,115853,100000,1631080,73990,187135
592200,115853,120000,1629303,74053,207003
592200,115853,140000,1627526,74116,226872
592200,115853,160000,1625749,74179,246740
592200,115853,180000,1623973,74242,266609
592200,135853,40000,1637627,93757,127619
592200,135853,60000,1635850,93820,147488
592200,135853,80000,1634074,93883,167356
592200,135853,100000,1632297,93946,187225
592200,135853,120000,1630520,94009,207093
592200,135853,140000,1628744,94073,226962
592200,135853,160000,1626967,94136,246830
592200,135853,180000,1625190,94199,266699
592200,135853,200000,1623414,94262,286567
592200,155853,40000,1638845,113713,127709
592200,155853,60000,1637068,113777,147578
592200,155853,80000,1635291,113840,167446
592200,155853,100000,1633515,113903,187315
592200,155853,120000,1631738,113966,207183
592200,155853,140000,1629961,114029,227052
592200,155853,160000,1628185,114092,246921
592200,155853,180000,1626408,114156,266789
592200,155853,200000,1624631,114219,286658
592200,175853,20000,1641839,133607,107931
592200,175853,40000,1640062,133670,127800
592200,175853,60000,1638285,133733,147668
592200,175853,80000,1636509,133796,167537
592200,175853,100000,1634732,133860,187405
592200,175853,120000,1632956,133923,207274
592200,175853,140000,1631179,133986,227142
592200,175853,160000,1629402,134049,247011
592200,175853,180000,1627626,134112,266879
592200,175853,200000,1625849,134176,286748
592200,175853,220000,1624072,134239,306616
592200,195853,20000,1643056,153564,108021
592200,195853,40000,1641280,153627,127890
592200,195853,60000,1639503,153690,147758
592200,195853,80000,1637726,153753,167627
592200,195853,100000,1635950,153816,187495
592200,195853,120000,1634173,153880,207364
592200,195853,140000,1632396,153943,227232
592200,195853,160000,1630620,154006,247101
592200,195853,180000,1628843,154069,266969
592200,195853,200000,1627067,154132,286838
592200,195853,220000,1625290,154195,306706
592200,215853,20000,1644274,173520,108111
592200,215853,40000,1642497,173584,127980
592200,215853,60000,1640721,173647,147848
592200,215853,80000,1638944,173710,167717
592200,215853,100000,1637167,173773,187585
592200,215853,120000,1635391,173836,207454
592200,215853,140000,1633614,173899,227322
592200,215853,160000,1631837,173963,247191
592200,215853,180000,1630061,174026,267059
592200,215853,200000,1628284,174089,286928
592200,215853,220000,1626507,174152,306796
592200,235853,20000,1645491,193477,108201
592200,235853,40000,1643715,193540,128070
592200,235853,60000,1641938,193603,147938
592200,235853,80000,1640162,193667,167807
592200,235853,100000,1638385,193730,187675
592200,235853,120000,1636608,193793,207544
592200,235853,140000,1634831,193856,227412
592200,235853,160000,1633055,193919,247281
592200,235853,180000,1631278,193982,267149
592200,235853,200000,1629502,194046,287018
592200,255853,20000,1646709,213434,108291
592200,255853,40000,1644932,213497,128160
592200,255853,60000,1643156,213560,148028
592200,255853,80000,1641379,213623,167897
592200,255853,100000,1639602,213686,187766
592200,255853,120000,1637826,213750,207634
592200,255853,140000,1636049,213813,227503
592200,255853,160000,1634272,213876,247371
592200,255853,180000,1632496,213939,267240
592200,255853,200000,1630719,214002,287108
592200,275853,20000,1647927,233391,108382
592200,275853,40000,1646150,233454,128250
592200,275853,60000,1644373,233517,148119
592200,275853,80000,1642597,233580,167987
592200,275853,100000,1640820,233643,187856
592200,275853,120000,1639043,233706,207724
592200,275853,140000,1637267,233770,227593
592200,275853,160000,1635490,233833,247461
592200,275853,180000,1633713,233896,267330
592200,275853,200000,1631937,233959,287198
592200,295853,20000,1649144,253347,108472
592200,295853,40000,1647367,253410,128340
592200,295853,60000,1645591,253474,148209
592200,295853,80000,1643814,253537,168077
592200,295853,100000,1642038,253600,187946
592200,295853,120000,1640261,253663,207814
592200,295853,140000,1638484,253726,227683
592200,295853,160000,1636708,253789,247551
592200,295853,180000,1634931,253853,267420
592200,295853,200000,1633154,253916,287288
592200,315853,40000,1648585,273367,128430
592200,315853,60000,1646808,273430,148299
592200,315853,80000,1645032,273493,168167
592200,315853,100000,1643255,273557,188036
592200,315853,120000,1641478,273620,207904
592200,315853,140000,1639702,273683,227773
592200,315853,160000,1637925,273746,247641
592200,315853,180000,1636148,273809,267510
592200,315853,200000,1634372,273872,287378
592200,335853,60000,1648026,293387,148389
592200,335853,80000,1646249,293450,168257
592200,335853,100000,1644473,293513,188126
592200,335853,120000,1642696,293576,207994
592200,335853,140000,1640919,293640,227863
592200,335853,160000,1639143,293703,247731
592200,335853,180000,1637366,293766,267600
592200,335853,200000,1635589,293829,287469
592200,355853,60000,1649244,313344,148479
592200,355853,80000,1647467,313407,168348
592200,355853,100000,1645690,313470,188216
592200,355853,120000,1643914,313533,208085
592200,355853,140000,1642137,313596,227953
592200,355853,160000,1640360,313660,247822
592200,355853,180000,1638584,313723,267690
592200,375853,100000,1646908,333427,188306
612200,95853,80000,1651464,52554,170123
612200,95853,100000,1649687,52617,189992
612200,95853,120000,1647910,52680,209860
612200,95853,140000,1646134,52743,229729
612200,95853,160000,1644357,52806,249598
612200,115853,60000,1654458,72447,150345
612200,115853,80000,1652681,72510,170214
612200,115853,100000,1650905,72574,190082
612200,115853,120000,1649128,72637,209951
612200,115853,140000,1647351,72700,229819
612200,115853,160000,1645575,72763,249688
612200,115853,180000,1643798,72826,269556
612200,135853,40000,1657452,92341,130567
612200,135853,60000,1655676,92404,150435
612200,135853,80000,1653899,92467,170304
612200,135853,100000,1652122,92530,190172
612200,135853,120000,1650346,92593,210041
612200,135853,140000,1648569,92657,229909
612200,135853,160000,1646792,92720,249778
612200,135853,180000,1645016,92783,269646
612200,135853,200000,1643239,92846,289515
612200,155853,40000,1658670,112297,130657
612200,155853,60000,1656893,112361,150525
612200,155853,80000,1655116,112424,170394
612200,155853,100000,1653340,112487,190262
612200,155853,120000,1651563,112550,210131
612200,155853,140000,1649787,112613,229999
612200,155853,160000,1648010,112676,249868
612200,155853,180000,1646233,112740,269736
612200,155853,200000,1644457,112803,289605
612200,175853,40000,1659887,132254,130747
612200,175853,60000,1658111,132317,150615
612200,175853,80000,1656334,132380,170484
612200,175853,100000,1654557,132444,190352
612200,175853,120000,1652781,132507,210221
612200,175853,140000,1651004,132570,230089
612200,175853,160000,1649227,132633,249958
612200,175853,180000,1647451,132696,269827
612200,175853,200000,1645674,132759,289695
612200,175853,220000,1643897,132823,309564
612200,195853,20000,1662882,152148,110968
612200,195853,40000,1661105,152211,130837
612200,195853,60000,1659328,152274,150705
612200,195853,80000,1657552,152337,170574
612200,195853,100000,1655775,152400,190443
612200,195853,120000,1653998,152464,210311
612200,195853,140000,1652222,152527,230180
612200,195853,160000,1650445,152590,250048
612200,195853,180000,1648668,152653,269917
612200,195853,200000,1646892,152716,289785
612200,195853,220000,1645115,152779,309654
612200,215853,20000,1664099,172104,111059
612200,215853,40000,1662323,172168,130927
612200,215853,60000,1660546,172231,150796
612200,215853,80000,1658769,172294,170664
612200,215853,100000,1656992,172357,190533
612200,215853,120000,1655216,172420,210401
612200,215853,140000,1653439,172483,230270
612200,215853,160000,1651663,172547,250138
612200,215853,180000,1649886,172610,270007
612200,215853,200000,1648109,172673,289875
612200,215853,220000,1646333,172736,309744
612200,235853,20000,1665317,192061,111149
612200,235853,40000,1663540,192124,131017
612200,235853,60000,1661763,192187,150886
612200,235853,80000,1659987,192251,170754
612200,235853,100000,1658210,192314,190623
612200,235853,120000,1656433,192377,210491
612200,235853,140000,1654657,192440,230360
612200,235853,160000,1652880,192503,250228
612200,235853,180000,1651103,192566,270097
612200,235853,200000,1649327,192630,289965
612200,235853,220000,1647550,192693,309834
612200,255853,20000,1666534,212018,111239
612200,255853,40000,1664758,212081,131107
612200,255853,60000,1662981,212144,150976
612200,255853,80000,1661204,212207,170844
612200,255853,100000,1659428,212270,190713
612200,255853,120000,1657651,212334,210581
612200,255853,140000,1655874,212397,230450
612200,255853,160000,1654098,212460,250318
612200,255853,180000,1652321,212523,270187
612200,255853,200000,1650544,212586,290055
612200,275853,20000,1667752,231974,111329
612200,275853,40000,1665975,232038,131197
612200,275853,60000,1664198,232101,151066
612200,275853,80000,1662422,232164,170934
612200,275853,100000,1660645,232227,190803
612200,275853,120000,1658869,232290,210671
612200,275853,140000,1657092,232354,230540
612200,275853,160000,1655315,232417,250408
612200,275853,180000,1653539,232480,270277
612200,275853,200000,1651762,232543,290146
612200,295853,40000,1667193,251994,131287
612200,295853,60000,1665416,252058,151156
612200,295853,80000,1663639,252121,171025
612200,295853,100000,1661863,252184,190893
612200,295853,120000,1660086,252247,210762
612200,295853,140000,1658309,252310,230630
612200,295853,160000,1656533,252373,250499
612200,295853,180000,1654756,252437,270367
612200,295853,200000,1652979,252500,290236
612200,315853,40000,1668410,271951,131378
612200,315853,60000,1666634,272014,151246
612200,315853,80000,1664857,272077,171115
612200,315853,100000,1663080,272141,190983
612200,315853,120000,1661304,272204,210852
