x_mcns,y_mcns,z_mcns,x_banc,y_banc,z_banc
635319,328146,279817,800254,180560,52480
635319,328146,309817,796258,210386,51676
635319,358146,249817,804485,163238,28745
635319,358146,279817,802905,186197,32517
635319,358146,309817,800455,213684,32287
635319,388146,279817,803409,194586,11671
665319,148146,249817,811527,99793,171461
665319,148146,279817,803239,123834,173392
665319,178146,249817,813976,97969,144410
665319,178146,279817,802031,121682,144993
665319,178146,309817,794936,155010,144889
665319,208146,219817,826171,76294,120791
665319,208146,249817,816828,99776,122130
665319,208146,279817,805115,126864,121326
665319,208146,309817,799510,159074,121206
665319,238146,219817,828732,85973,97482
665319,238146,249817,821268,109488,99311
665319,238146,279817,812841,137816,99391
665319,238146,309817,806934,173540,102961
665319,268146,219817,833217,93402,71025
665319,268146,249817,828677,119853,75466
665319,268146,279817,822333,151314,79257
665319,268146,309817,816002,186529,85875
665319,298146,219817,837208,100945,44811
665319,298146,249817,834833,131434,52067
665319,298146,279817,827825,164894,61183
665319,298146,309817,822921,196646,68946
665319,328146,249817,835739,143467,34495
665319,328146,279817,831224,174097,43227
665319,328146,309817,826769,203999,49860
665319,358146,249817,835786,156254,18883
665319,358146,279817,832584,182601,25297
665319,358146,309817,828137,208367,30543
695319,178146,279817,837078,120948,144914
695319,208146,249817,855259,99157,120747
695319,208146,279817,839713,126768,119508
695319,208146,309817,830177,156959,119622
695319,238146,249817,862362,107046,96047
695319,238146,279817,848888,137475,97720
695319,238146,309817,839341,169950,102354
695319,268146,249817,868238,117839,72332
695319,268146,279817,856438,150486,78728
695319,268146,309817,847138,182080,85105
695319,298146,249817,870547,130299,48266
695319,298146,279817,860275,162612,58682
695319,298146,309817,852680,191265,66996
695319,328146,279817,861732,171842,39232
695319,328146,309817,855764,199396,47574
245319,418146,609817,378692,600148,151686
275319,418146,639817,403415,618924,170275
275319,448146,579817,424219,589286,123829
275319,448146,609817,418944,608333,139155
275319,478146,579817,425358,596108,98951
275319,478146,609817,424868,617239,115106
305319,328146,969817,316802,917183,252253
305319,418146,579817,451675,584343,150821
305319,418146,609817,443714,603420,164387
305319,418146,639817,434232,621681,174387
305319,418146,729817,406726,686047,189522
305319,418146,759817,400179,709534,196554
305319,448146,549817,454069,571360,112673
305319,448146,579817,458848,593484,129070
305319,448146,609817,451628,612555,144135
305319,448146,639817,443134,627945,156248
305319,448146,729817,418135,695131,170090
305319,448146,759817,412568,715604,169155
305319,448146,789817,403983,736847,170270
305319,478146,549817,462345,582475,92304
305319,478146,579817,464645,601151,106858
305319,478146,609817,461413,620743,121169
305319,478146,639817,451618,641009,132563
305319,478146,759817,413531,721221,136329
305319,478146,789817,408495,741564,139208
305319,478146,819817,410167,763590,143615
305319,508146,579817,468426,608701,82936
305319,508146,609817,465946,632835,95599
305319,508146,639817,459205,653779,108180
335319,358146,699817,435321,654776,232118
335319,358146,729817,424829,678590,238268
335319,358146,909817,368348,855876,249479
335319,388146,609817,464854,597870,193249
335319,388146,639817,452180,619504,197142
335319,388146,669817,442581,639756,202336
335319,388146,699817,439519,658817,211017
