"Label","Use","X","Y","Z,"X1","Y1","Z1"
"Pt-163","true","348.19069555489114","135.0724614415958","325.8029983846063","351388.65576","120410.06520","153970.00000"
"Pt-164","true","709.1743234543828","290.4448134896229","186.96498847020848","519860.99361","220076.89037","101970.00000"
"Pt-165","true","699.9468384936918","306.797502258094","238.26756803164608","521284.79831","208677.12690","125890.00000"
"Pt-166","true","608.1119857765734","187.71150129719172","274.79126703618385","471366.88062","156206.13127","119490.00000"
"Pt-167","true","714.0974740885431","140.92094753604033","311.9910157360864","520693.33982","131657.18421","119490.00000"
"Pt-168","true","772.3867599320365","182.61529372926452","314.80398979771417","549530.67297","144659.72365","128770.00000"
"Pt-169","true","768.2635291280458","248.1693543260044","300.4274142358481","549536.57652","181351.05027","139530.00000"
"Pt-170","true","826.6156551198801","180.4320663358376","267.9390460947907","581169.39463","162267.37772","105410.00000"
"Pt-171","true","785.7634299328784","208.03503616797389","306.1217676735396","560705.38412","163374.95087","133450.00000"
"Pt-172","true","811.7053972609574","59.21031601654249","162.54342233875286","566216.67092","134806.13211","28690.00000"
"Pt-173","true","322.4938424357679","314.56546032603364","221.6334066875279","326651.31976","225649.92802","141410.00000"
"Pt-174","true","405.40233188471757","406.3291318885167","182.38558414690488","370757.18479","267784.42923","141410.00000"
"Pt-175","true","370.4399438460241","96.40938439636375","329.0868616352964","365913.69661","102110.27835","138610.00000"
"Pt-176","true","912.5392652542796","228.67121568429866","427.4470805807796","622000.79258","159658.74336","202770.00000"
"Pt-177","true","976.292275046464","123.25037769193295","411.1840396603802","646027.70799","122130.39408","165330.00000"
"Pt-178","true","1129.1424726734404","227.7042762840574","380.8102788783726","722715.06757","167182.74163","162130.00000"
"Pt-179","true","341.23644622665597","173.6231794061896","404.9548990551557","351961.32531","124966.35811","194090.00000"
