x,y,z,x_sym,y_sym,z_sym
592200,155853,100000,585773,148938,112283
592200,155853,120000,581858,146883,129712
592200,155853,140000,577008,149652,149192
592200,175853,20000,590849,169069,36066
592200,175853,40000,591963,169998,49929
592200,175853,60000,591425,169029,72491
592200,175853,80000,588025,168300,95367
592200,175853,100000,587948,168303,113652
592200,175853,120000,583050,171158,131949
592200,175853,140000,576665,171176,151347
592200,175853,160000,575551,171693,170197
592200,175853,180000,573961,171235,189594
592200,195853,40000,592723,188090,53378
592200,195853,60000,592370,189956,75107
592200,195853,80000,591566,189535,97080
592200,195853,100000,590805,189105,113654
592200,195853,120000,583736,190107,132506
592200,195853,140000,579833,191118,150363
592200,195853,160000,576427,190726,167578
592200,195853,180000,575670,192424,190078
592200,215853,20000,590714,205472,36338
592200,215853,40000,594268,208050,54934
592200,215853,60000,592547,210801,77185
592200,215853,80000,591822,211264,96998
592200,215853,100000,589897,208010,114484
592200,215853,120000,586188,211968,134104
592200,215853,140000,581520,212965,151584
592200,215853,160000,578320,211176,168585
592200,215853,180000,576726,213636,190791
592200,215853,200000,575186,214173,210781
592200,235853,20000,589128,224067,36940
592200,235853,40000,585366,225377,53075
592200,235853,60000,588247,230705,78126
592200,235853,80000,590929,229169,95808
592200,235853,100000,588971,231489,112824
592200,235853,120000,585384,232615,131631
592200,235853,140000,582239,233788,150619
592200,235853,160000,581870,233144,169688
592200,235853,180000,579106,232205,189760
592200,235853,200000,576562,233849,208619
592200,255853,20000,586330,244169,35066
592200,255853,40000,585849,246116,53812
592200,255853,60000,585949,246282,74108
592200,255853,80000,588305,247957,94035
592200,255853,100000,587109,250693,113094
592200,255853,120000,584307,251236,131033
592200,255853,140000,581719,252386,149075
592200,255853,160000,581502,251276,168600
592200,255853,180000,578868,253055,189272
592200,255853,200000,576944,253867,208747
592200,275853,20000,587142,264039,35725
592200,275853,40000,586813,264025,54480
592200,275853,60000,587307,263245,72539
592200,275853,80000,585743,266214,92592
592200,275853,100000,586798,269952,110836
592200,275853,120000,584303,270537,129160
592200,275853,140000,580598,270579,148384
592200,275853,160000,579593,271457,168011
592200,275853,180000,577877,273305,188861
592200,275853,200000,576915,271077,208937
592200,295853,100000,589136,288198,107512
592200,295853,120000,585774,289236,129927
